hcp_id,hcp_name,city_id,specialty,loyalty_tier,potential_score,potential_tier,avg_rx_lift_pct,responsiveness,priority_bucket
1,Jairaj Kothari,11,Cardiologist,Competitor_Loyal,42,Low,1.6175000000000006,Non-responsive,Priority D
2,Udarsh Bala,3,Diabetologist,Switcher,52,Low,-2.7600000000000002,Non-responsive,Priority D
3,Jalsa Parsa,9,Diabetologist,Competitor_Loyal,63,High,7.236363636363635,Non-responsive,Priority B
4,Aarav Bava,7,Cardiologist,Switcher,60,High,11.60888888888889,Non-responsive,Priority B
5,Tara Sharma,9,Cardiologist,Switcher,58,Low,6.474545454545455,Non-responsive,Priority D
6,Zarna Mangal,9,Cardiologist,Competitor_Loyal,71,High,-3.013636363636364,Non-responsive,Priority B
7,Vaishnavi Keer,7,Cardiologist,Brand_Loyal,41,Low,0.19666666666666663,Non-responsive,Priority D
8,Abhiram Bir,13,Diabetologist,Brand_Loyal,42,Low,2.7112499999999997,Non-responsive,Priority D
9,Aahana Pillay,1,Cardiologist,Switcher,50,Low,-17.38222222222222,Non-responsive,Priority D
10,Ishaan Cherian,7,GP,Competitor_Loyal,26,Low,3.888888888888889,Non-responsive,Priority D
11,Siddharth Sha,1,Diabetologist,Switcher,56,Low,-4.7316666666666665,Non-responsive,Priority D
12,Vrishti Parmer,7,Cardiologist,Competitor_Loyal,62,High,3.311111111111112,Non-responsive,Priority B
13,Ijaya Saraf,12,GP,Switcher,31,Low,-0.46499999999999986,Non-responsive,Priority D
14,Varenya Kibe,5,Cardiologist,Competitor_Loyal,58,Low,6.828181818181818,Non-responsive,Priority D
15,Indira Nigam,3,GP,Switcher,30,Low,26.232857142857142,Responsive,Priority C
16,Saanvi Samra,2,Diabetologist,Switcher,71,High,-1.655,Non-responsive,Priority B
17,Siddharth Talwar,6,Cardiologist,Brand_Loyal,62,High,6.627777777777777,Non-responsive,Priority B
18,Raksha Buch,1,Diabetologist,Switcher,40,Low,-1.7363636363636359,Non-responsive,Priority D
19,Ishita Shanker,12,Diabetologist,Competitor_Loyal,50,Low,4.2924999999999995,Non-responsive,Priority D
20,Ayushman Mammen,12,GP,Brand_Loyal,68,High,2.4516666666666667,Non-responsive,Priority B
21,Balhaar Parsa,5,GP,Switcher,75,High,5.720909090909092,Non-responsive,Priority B
22,Zansi Walla,9,GP,Switcher,73,High,-2.022727272727273,Non-responsive,Priority B
23,Veda Kulkarni,9,Cardiologist,Switcher,61,High,-2.647,Non-responsive,Priority B
24,Kritika Rau,8,Cardiologist,Brand_Loyal,51,Low,2.473333333333333,Non-responsive,Priority D
25,Xalak Walla,13,GP,Brand_Loyal,49,Low,-2.23,Non-responsive,Priority D
26,Utkarsh Patel,1,Diabetologist,Competitor_Loyal,79,High,10.369166666666667,Non-responsive,Priority B
27,Tanveer Shankar,8,GP,Competitor_Loyal,62,High,10.51,Non-responsive,Priority B
28,Riya Kakar,7,GP,Brand_Loyal,79,High,-3.7377777777777776,Non-responsive,Priority B
29,Mahika Bhatti,6,Diabetologist,Brand_Loyal,77,High,-4.079,Non-responsive,Priority B
30,Zarna Shetty,1,Cardiologist,Switcher,72,High,-5.971666666666667,Non-responsive,Priority B
31,Leena Dey,5,Cardiologist,Switcher,71,High,21.611818181818183,Responsive,Priority A
32,Anvi Swaminathan,9,Diabetologist,Switcher,69,High,-2.570909090909091,Non-responsive,Priority B
33,Urvashi Khosla,5,GP,Competitor_Loyal,67,High,12.709,Non-responsive,Priority B
34,Ira Pai,9,GP,Switcher,69,High,13.602,Non-responsive,Priority B
35,Chandani Ramakrishnan,13,GP,Switcher,50,Low,6.4025,Non-responsive,Priority D
36,Wishi Morar,4,Diabetologist,Brand_Loyal,68,High,3.236666666666667,Non-responsive,Priority B
37,Noah Ramachandran,12,Cardiologist,Competitor_Loyal,76,High,-2.4858333333333333,Non-responsive,Priority B
38,Brijesh Soman,11,Diabetologist,Switcher,31,Low,6.6000000000000005,Non-responsive,Priority D
39,William Gandhi,9,GP,Switcher,71,High,6.517272727272727,Non-responsive,Priority B
40,Urvi Bhavsar,1,Cardiologist,Competitor_Loyal,74,High,-0.10166666666666717,Non-responsive,Priority B
41,Ekbal Bhasin,1,GP,Switcher,82,High,-0.36666666666666625,Non-responsive,Priority B
42,Urmi Dash,14,Cardiologist,Switcher,22,Low,-21.139999999999997,Non-responsive,Priority D
43,Mohini Sagar,1,Diabetologist,Competitor_Loyal,63,High,-4.43,Non-responsive,Priority B
44,Mekhala Khatri,5,GP,Competitor_Loyal,82,High,2.368181818181818,Non-responsive,Priority B
45,Urishilla Saran,9,Diabetologist,Switcher,58,Low,-2.7427272727272727,Non-responsive,Priority D
46,Amruta Dass,10,Cardiologist,Competitor_Loyal,73,High,-4.845,Non-responsive,Priority B
47,Balhaar Ranganathan,5,GP,Competitor_Loyal,78,High,2.4709090909090916,Non-responsive,Priority B
48,Ryan Goyal,15,GP,Brand_Loyal,43,Low,10.705,Non-responsive,Priority D
49,Charvi Dara,1,GP,Competitor_Loyal,64,High,17.319,Responsive,Priority A
50,Vansha Rajagopal,7,GP,Brand_Loyal,69,High,4.685555555555556,Non-responsive,Priority B
51,Aradhana Bhatia,13,GP,Brand_Loyal,70,High,-4.08625,Non-responsive,Priority B
52,Chaitaly Setty,1,Diabetologist,Switcher,75,High,12.1275,Non-responsive,Priority B
53,Omya Kothari,8,GP,Competitor_Loyal,48,Low,8.305000000000001,Non-responsive,Priority D
54,Dev Shetty,1,Cardiologist,Brand_Loyal,69,High,5.298333333333333,Non-responsive,Priority B
55,Zinal Shanker,7,Cardiologist,Switcher,46,Low,0.09222222222222243,Non-responsive,Priority D
56,Upma Wali,14,Cardiologist,Competitor_Loyal,48,Low,-14.425714285714283,Non-responsive,Priority D
57,Dominic Mukhopadhyay,7,Diabetologist,Brand_Loyal,66,High,0.7122222222222226,Non-responsive,Priority B
58,Gaurang Korpal,12,Diabetologist,Competitor_Loyal,56,Low,-0.5766666666666674,Non-responsive,Priority D
59,Gunbir Wali,13,GP,Switcher,36,Low,6.807142857142857,Non-responsive,Priority D
60,Charvi Dara,3,GP,Switcher,24,Low,-0.5814285714285715,Non-responsive,Priority D
61,Ishaan Raju,9,Diabetologist,Switcher,78,High,1.212727272727273,Non-responsive,Priority B
62,Advaith Chaudhari,5,Diabetologist,Competitor_Loyal,80,High,9.17090909090909,Non-responsive,Priority B
63,Abhiram Kaul,10,Diabetologist,Competitor_Loyal,70,High,7.4475,Non-responsive,Priority B
64,Aadi Chand,8,GP,Brand_Loyal,63,High,0.7250000000000001,Non-responsive,Priority B
65,Vamakshi Pillai,15,Diabetologist,Competitor_Loyal,36,Low,3.002500000000001,Non-responsive,Priority D
66,Ubika Devi,13,GP,Switcher,37,Low,17.91125,Responsive,Priority C
67,Maya Narain,6,Diabetologist,Switcher,52,Low,-0.38100000000000056,Non-responsive,Priority D
68,Sarthak Buch,14,Diabetologist,Brand_Loyal,41,Low,2.9528571428571433,Non-responsive,Priority D
69,Upkaar Virk,1,Diabetologist,Switcher,78,High,8.075000000000001,Non-responsive,Priority B
70,Matthew Chatterjee,7,Cardiologist,Brand_Loyal,74,High,4.845555555555555,Non-responsive,Priority B
71,Falan Jain,6,Cardiologist,Switcher,49,Low,5.565555555555556,Non-responsive,Priority D
72,Jeet Pillai,3,Cardiologist,Brand_Loyal,57,Low,-4.531428571428571,Non-responsive,Priority D
73,Ekansh Sane,12,Diabetologist,Switcher,76,High,-4.5249999999999995,Non-responsive,Priority B
74,Yasti Borde,7,Cardiologist,Switcher,47,Low,19.835555555555555,Responsive,Priority C
75,Zashil Butala,6,Diabetologist,Switcher,51,Low,7.293000000000001,Non-responsive,Priority D
76,Gauri Bumb,2,GP,Brand_Loyal,69,High,3.0012499999999998,Non-responsive,Priority B
77,Sanaya Thaman,12,Diabetologist,Switcher,48,Low,10.4925,Non-responsive,Priority D
78,Yachana Sagar,6,GP,Switcher,35,Low,-5.437777777777778,Non-responsive,Priority D
79,Jalsa Bir,3,Diabetologist,Switcher,40,Low,-2.54,Non-responsive,Priority D
80,Nitara Iyengar,13,Cardiologist,Switcher,54,Low,1.7825000000000002,Non-responsive,Priority D
81,Faqid Kibe,1,Cardiologist,Brand_Loyal,79,High,6.476666666666667,Non-responsive,Priority B
82,Champak Rao,9,GP,Competitor_Loyal,48,Low,-7.336363636363637,Non-responsive,Priority D
83,Yutika D’Alia,13,Diabetologist,Switcher,20,Low,13.312857142857142,Non-responsive,Priority D
84,Suhani Chana,12,Diabetologist,Brand_Loyal,84,High,-2.050833333333333,Non-responsive,Priority B
85,Yachana Luthra,12,GP,Competitor_Loyal,58,Low,-7.194166666666665,Non-responsive,Priority D
86,Meera Divan,12,GP,Competitor_Loyal,63,High,13.571666666666667,Non-responsive,Priority B
