hcp_id,hcp_name,city_name,specialty,loyalty_tier,potential_score,total_visits,active_months,visits_per_month,potential_quartile,visit_quartile,coverage_flag
180,Onkar Mandal,Mumbai,Cardiologist,Competitor_Loyal,95,25,11,1.39,4,1,Under-covered
956,Vincent Kashyap,Mumbai,Diabetologist,Brand_Loyal,91,33,17,1.83,4,1,Under-covered
585,Maanav Gola,Mumbai,GP,Competitor_Loyal,89,32,16,1.78,4,1,Under-covered
304,Lila Vig,Mumbai,Cardiologist,Brand_Loyal,88,33,14,1.83,4,1,Under-covered
754,Odika Narayanan,Bangalore,GP,Brand_Loyal,87,27,13,1.5,4,1,Under-covered
1636,Jagvi Sahni,Mumbai,Cardiologist,Brand_Loyal,87,28,14,1.56,4,1,Under-covered
1621,Edhitha Patel,Bangalore,Diabetologist,Competitor_Loyal,84,31,15,1.72,4,1,Under-covered
543,Vasudha Tella,Mumbai,Diabetologist,Brand_Loyal,84,34,12,1.89,4,1,Under-covered
1496,Viraj Dutta,Chennai,GP,Competitor_Loyal,81,28,14,1.56,4,1,Under-covered
149,Karan Aurora,Delhi,GP,Competitor_Loyal,81,32,15,1.78,4,1,Under-covered
210,Aryan Batra,Delhi,Diabetologist,Switcher,81,32,17,1.78,4,1,Under-covered
289,Advik Salvi,Delhi,GP,Competitor_Loyal,81,33,15,1.83,4,1,Under-covered
146,Kashvi Sagar,Bangalore,Diabetologist,Brand_Loyal,80,26,14,1.44,4,1,Under-covered
1375,Lakshmi Parmer,Delhi,GP,Switcher,80,30,17,1.67,4,1,Under-covered
1590,Nihal Hans,Mumbai,Cardiologist,Competitor_Loyal,80,30,15,1.67,4,1,Under-covered
1733,Hardik Suri,Delhi,Cardiologist,Switcher,79,27,15,1.5,4,1,Under-covered
26,Utkarsh Patel,Delhi,Diabetologist,Competitor_Loyal,79,31,15,1.72,4,1,Under-covered
945,Eesha Bir,Mumbai,Diabetologist,Competitor_Loyal,79,31,16,1.72,4,1,Under-covered
375,Ekta Shankar,Mumbai,Diabetologist,Switcher,79,34,15,1.89,4,1,Under-covered
1832,Zayyan Pandya,Bangalore,Cardiologist,Competitor_Loyal,78,28,14,1.56,4,1,Under-covered
373,Hritik Bal,Delhi,Cardiologist,Competitor_Loyal,77,27,12,1.5,4,1,Under-covered
716,Unnati Chaudhari,Bangalore,Cardiologist,Competitor_Loyal,77,33,16,1.83,4,1,Under-covered
29,Mahika Bhatti,Chennai,Diabetologist,Brand_Loyal,77,34,13,1.89,4,1,Under-covered
258,Daksh Andra,Bangalore,Cardiologist,Switcher,76,25,14,1.39,4,1,Under-covered
73,Ekansh Sane,Mumbai,Diabetologist,Switcher,76,30,17,1.67,4,1,Under-covered
288,Matthew Sekhon,Mumbai,GP,Switcher,76,32,13,1.78,4,1,Under-covered
97,Amrita Tailor,Bangalore,Cardiologist,Competitor_Loyal,75,31,14,1.72,4,1,Under-covered
21,Balhaar Parsa,Bangalore,GP,Switcher,75,33,16,1.83,4,1,Under-covered
384,Anika Dhaliwal,Mumbai,GP,Switcher,75,33,17,1.83,4,1,Under-covered
714,Bhavna Karan,Delhi,Cardiologist,Brand_Loyal,75,33,14,1.83,4,1,Under-covered
1724,Jonathan Tiwari,Mumbai,Cardiologist,Switcher,75,33,16,1.83,4,1,Under-covered
1034,Kala Kaur,Kolkata,Diabetologist,Switcher,74,28,13,1.56,4,1,Under-covered
774,Gayathri Butala,Mumbai,GP,Switcher,74,29,13,1.61,4,1,Under-covered
1198,Upasna Srinivas,Delhi,GP,Switcher,74,29,16,1.61,4,1,Under-covered
302,Patrick Vig,Delhi,Diabetologist,Brand_Loyal,74,30,15,1.67,4,1,Under-covered
154,Yauvani Dhar,Kolkata,GP,Brand_Loyal,74,31,14,1.72,4,1,Under-covered
826,Tristan Kala,Mumbai,GP,Brand_Loyal,74,33,14,1.83,4,1,Under-covered
1157,Dayita Narang,Mumbai,Cardiologist,Competitor_Loyal,74,33,13,1.83,4,1,Under-covered
602,Krish Rama,Bangalore,Diabetologist,Switcher,73,26,16,1.44,4,1,Under-covered
1172,Sanaya Dutt,Delhi,GP,Competitor_Loyal,73,29,15,1.61,4,1,Under-covered
332,Gaurangi Mitter,Bangalore,Cardiologist,Switcher,73,31,16,1.72,4,1,Under-covered
1649,Barkha Rai,Bangalore,Cardiologist,Switcher,73,31,16,1.72,4,1,Under-covered
970,Nirja Pandya,Delhi,GP,Competitor_Loyal,73,33,14,1.83,4,1,Under-covered
1631,Balendra Deshpande,Mumbai,GP,Switcher,73,33,15,1.83,4,1,Under-covered
229,Nidra Chhabra,Mumbai,Cardiologist,Brand_Loyal,72,28,17,1.56,4,1,Under-covered
1041,Anika Batra,Bangalore,Cardiologist,Competitor_Loyal,72,29,14,1.61,4,1,Under-covered
1580,Faras Sur,Mumbai,GP,Competitor_Loyal,72,29,13,1.61,4,1,Under-covered
255,Ekani Bhatnagar,Mumbai,GP,Brand_Loyal,72,30,16,1.67,4,1,Under-covered
561,Ikbal Khatri,Bangalore,Cardiologist,Brand_Loyal,72,33,14,1.83,4,1,Under-covered
1226,Kamala Buch,Kolkata,Cardiologist,Competitor_Loyal,72,33,16,1.83,4,1,Under-covered
699,Ijaya Pandey,Chennai,Diabetologist,Brand_Loyal,100,43,14,2.39,4,3,Appropriately-covered
1368,Laksh Chahal,Mumbai,Diabetologist,Brand_Loyal,100,43,17,2.39,4,3,Appropriately-covered
1861,Timothy Dhingra,Bangalore,GP,Brand_Loyal,100,48,17,2.67,4,3,Appropriately-covered
1906,Bhanumati Iyer,Mumbai,Diabetologist,Competitor_Loyal,100,50,16,2.78,4,3,Appropriately-covered
1626,Anusha Doshi,Mumbai,Cardiologist,Brand_Loyal,100,51,17,2.83,4,3,Appropriately-covered
1412,Girindra Shere,Chennai,Diabetologist,Competitor_Loyal,100,56,17,3.11,4,4,Appropriately-covered
1990,Yasti Lalla,Kolkata,Diabetologist,Brand_Loyal,100,56,17,3.11,4,4,Appropriately-covered
483,Odika Nori,Delhi,Diabetologist,Brand_Loyal,100,57,18,3.17,4,4,Appropriately-covered
1346,Nidhi Sethi,Chennai,GP,Brand_Loyal,99,49,16,2.72,4,3,Appropriately-covered
902,Vasatika Ahuja,Kolkata,Diabetologist,Brand_Loyal,99,53,17,2.94,4,4,Appropriately-covered
