rep_id,rep_name,city,region,month_year,monthly_rx,rolling_3m_avg_rx
1,Aryan Maharaj,Delhi,North,2023-07,1575,1575.0
1,Aryan Maharaj,Delhi,North,2023-08,1617,1596.0
1,Aryan Maharaj,Delhi,North,2023-09,1590,1594.0
1,Aryan Maharaj,Delhi,North,2023-10,1844,1683.67
1,Aryan Maharaj,Delhi,North,2023-11,1914,1782.67
1,Aryan Maharaj,Delhi,North,2023-12,1767,1841.67
1,Aryan Maharaj,Delhi,North,2024-01,1814,1831.67
1,Aryan Maharaj,Delhi,North,2024-02,1907,1829.33
1,Aryan Maharaj,Delhi,North,2024-03,1956,1892.33
1,Aryan Maharaj,Delhi,North,2024-04,1946,1936.33
1,Aryan Maharaj,Delhi,North,2024-05,1973,1958.33
1,Aryan Maharaj,Delhi,North,2024-06,2017,1978.67
1,Aryan Maharaj,Delhi,North,2024-07,1718,1902.67
1,Aryan Maharaj,Delhi,North,2024-08,1732,1822.33
1,Aryan Maharaj,Delhi,North,2024-09,1807,1752.33
1,Aryan Maharaj,Delhi,North,2024-10,2094,1877.67
1,Aryan Maharaj,Delhi,North,2024-11,2094,1998.33
1,Aryan Maharaj,Delhi,North,2024-12,1907,2031.67
2,Udant Dewan,Delhi,North,2023-07,1574,1574.0
2,Udant Dewan,Delhi,North,2023-08,1633,1603.5
2,Udant Dewan,Delhi,North,2023-09,1615,1607.33
2,Udant Dewan,Delhi,North,2023-10,1834,1694.0
2,Udant Dewan,Delhi,North,2023-11,1915,1788.0
2,Udant Dewan,Delhi,North,2023-12,1752,1833.67
2,Udant Dewan,Delhi,North,2024-01,1813,1826.67
2,Udant Dewan,Delhi,North,2024-02,1938,1834.33
2,Udant Dewan,Delhi,North,2024-03,1943,1898.0
2,Udant Dewan,Delhi,North,2024-04,1930,1937.0
2,Udant Dewan,Delhi,North,2024-05,1984,1952.33
2,Udant Dewan,Delhi,North,2024-06,2023,1979.0
2,Udant Dewan,Delhi,North,2024-07,1722,1909.67
2,Udant Dewan,Delhi,North,2024-08,1736,1827.0
2,Udant Dewan,Delhi,North,2024-09,1811,1756.33
2,Udant Dewan,Delhi,North,2024-10,2086,1877.67
2,Udant Dewan,Delhi,North,2024-11,2107,2001.33
2,Udant Dewan,Delhi,North,2024-12,1902,2031.67
3,Gagan Sami,Delhi,North,2023-07,1621,1621.0
3,Gagan Sami,Delhi,North,2023-08,1680,1650.5
3,Gagan Sami,Delhi,North,2023-09,1665,1655.33
3,Gagan Sami,Delhi,North,2023-10,1919,1754.67
3,Gagan Sami,Delhi,North,2023-11,1989,1857.67
3,Gagan Sami,Delhi,North,2023-12,1824,1910.67
3,Gagan Sami,Delhi,North,2024-01,1878,1897.0
3,Gagan Sami,Delhi,North,2024-02,2003,1901.67
3,Gagan Sami,Delhi,North,2024-03,2039,1973.33
3,Gagan Sami,Delhi,North,2024-04,2014,2018.67
3,Gagan Sami,Delhi,North,2024-05,2048,2033.67
3,Gagan Sami,Delhi,North,2024-06,2103,2055.0
3,Gagan Sami,Delhi,North,2024-07,1781,1977.33
3,Gagan Sami,Delhi,North,2024-08,1793,1892.33
3,Gagan Sami,Delhi,North,2024-09,1889,1821.0
3,Gagan Sami,Delhi,North,2024-10,2156,1946.0
3,Gagan Sami,Delhi,North,2024-11,2180,2075.0
3,Gagan Sami,Delhi,North,2024-12,1982,2106.0
4,Ayushman Chander,Delhi,North,2023-07,1611,1611.0
4,Ayushman Chander,Delhi,North,2023-08,1675,1643.0
4,Ayushman Chander,Delhi,North,2023-09,1643,1643.0
4,Ayushman Chander,Delhi,North,2023-10,1902,1740.0
4,Ayushman Chander,Delhi,North,2023-11,1976,1840.33
4,Ayushman Chander,Delhi,North,2023-12,1791,1889.67
4,Ayushman Chander,Delhi,North,2024-01,1854,1873.67
4,Ayushman Chander,Delhi,North,2024-02,1992,1879.0
4,Ayushman Chander,Delhi,North,2024-03,2020,1955.33
4,Ayushman Chander,Delhi,North,2024-04,1978,1996.67
4,Ayushman Chander,Delhi,North,2024-05,2018,2005.33
4,Ayushman Chander,Delhi,North,2024-06,2079,2025.0
4,Ayushman Chander,Delhi,North,2024-07,1758,1951.67
4,Ayushman Chander,Delhi,North,2024-08,1778,1871.67
4,Ayushman Chander,Delhi,North,2024-09,1845,1793.67
4,Ayushman Chander,Delhi,North,2024-10,2117,1913.33
4,Ayushman Chander,Delhi,North,2024-11,2157,2039.67
4,Ayushman Chander,Delhi,North,2024-12,1959,2077.67
5,Viraj Tiwari,Delhi,North,2023-07,1599,1599.0
5,Viraj Tiwari,Delhi,North,2023-08,1665,1632.0
5,Viraj Tiwari,Delhi,North,2023-09,1641,1635.0
5,Viraj Tiwari,Delhi,North,2023-10,1881,1729.0
5,Viraj Tiwari,Delhi,North,2023-11,1960,1827.33
5,Viraj Tiwari,Delhi,North,2023-12,1784,1875.0
5,Viraj Tiwari,Delhi,North,2024-01,1850,1864.67
5,Viraj Tiwari,Delhi,North,2024-02,1956,1863.33
5,Viraj Tiwari,Delhi,North,2024-03,2015,1940.33
5,Viraj Tiwari,Delhi,North,2024-04,1979,1983.33
5,Viraj Tiwari,Delhi,North,2024-05,2032,2008.67
5,Viraj Tiwari,Delhi,North,2024-06,2080,2030.33
5,Viraj Tiwari,Delhi,North,2024-07,1743,1951.67
5,Viraj Tiwari,Delhi,North,2024-08,1762,1861.67
5,Viraj Tiwari,Delhi,North,2024-09,1858,1787.67
5,Viraj Tiwari,Delhi,North,2024-10,2124,1914.67
5,Viraj Tiwari,Delhi,North,2024-11,2145,2042.33
