rep_id,rep_name,hcp_id,hcp_name,loyalty_tier,avg_rx_before,avg_rx_after,rx_lift,rx_lift_pct
94,Yash Pingle,685,Chaitaly Mann,Switcher,0.5,6.0,5.5,1100.0
100,Samar Lalla,1183,Tarak Venkataraman,Switcher,1.0,12.0,11.0,1100.0
1,Aryan Maharaj,731,Chakradev Barad,Switcher,0.5,5.0,4.5,900.0
60,Kevin Solanki,1222,Jalsa Aggarwal,Switcher,0.5,4.5,4.0,800.0
40,Yashica Cherian,334,Jacob Merchant,Competitor_Loyal,0.5,3.5,3.0,600.0
78,Mohammed Gupta,711,Jagrati Sethi,Switcher,0.5,3.5,3.0,600.0
79,Teerth Bhardwaj,1980,Aachal Soni,Switcher,1.0,7.0,6.0,600.0
1,Aryan Maharaj,1267,Geetika Raghavan,Competitor_Loyal,0.25,1.5,1.25,500.0
106,Faqid Dixit,1285,Baljiwan Ramakrishnan,Switcher,0.17,1.0,0.83,500.0
35,Upadhriti Wadhwa,575,Samar Roy,Switcher,1.0,5.5,4.5,450.0
98,Hredhaan Dugal,1157,Dayita Narang,Competitor_Loyal,1.0,5.5,4.5,450.0
9,Arunima Dugal,731,Chakradev Barad,Switcher,0.67,3.33,2.67,400.0
35,Upadhriti Wadhwa,513,Neelima Sarna,Competitor_Loyal,0.5,2.5,2.0,400.0
96,Abhiram Mistry,1740,Aarna Patla,Switcher,2.0,10.0,8.0,400.0
101,Zayan Behl,1761,Upasna Setty,Switcher,1.25,6.25,5.0,400.0
59,Arya Sunder,1222,Jalsa Aggarwal,Switcher,1.17,5.67,4.5,385.71
56,Ekavir Bhargava,655,Oliver Kakar,Switcher,1.33,6.33,5.0,375.0
71,Chandresh Zachariah,839,Benjamin Ahluwalia,Switcher,1.0,4.5,3.5,350.0
72,Girik Khalsa,1750,Arya Lalla,Competitor_Loyal,0.67,3.0,2.33,350.0
11,Lajita Chatterjee,1267,Geetika Raghavan,Competitor_Loyal,0.33,1.33,1.0,300.0
12,Hemangini Lalla,905,Vritti Sem,Competitor_Loyal,0.6,2.4,1.8,300.0
51,Devika Rastogi,1347,Bimala Loke,Competitor_Loyal,0.5,2.0,1.5,300.0
52,Raksha Varughese,1886,Fitan Balasubramanian,Competitor_Loyal,0.2,0.8,0.6,300.0
80,Dipta Bhandari,1643,Krishna Baria,Competitor_Loyal,0.5,2.0,1.5,300.0
108,Joshua Barman,1342,Oni Issac,Switcher,1.5,6.0,4.5,300.0
44,Isaac Patil,1771,Eta Balan,Switcher,3.0,11.67,8.67,288.89
108,Joshua Barman,90,Keya Goyal,Switcher,1.25,4.75,3.5,280.0
72,Girik Khalsa,339,Jack Pandey,Competitor_Loyal,0.67,2.5,1.83,275.0
79,Teerth Bhardwaj,789,Jagvi Desai,Switcher,2.0,7.5,5.5,275.0
39,Aarush Lall,1526,Maya Mistry,Switcher,1.5,5.5,4.0,266.67
92,Tanay Toor,1993,Chandresh De,Competitor_Loyal,0.75,2.75,2.0,266.67
108,Joshua Barman,1742,Vyanjana Chopra,Switcher,0.75,2.75,2.0,266.67
78,Mohammed Gupta,1311,Avni Dey,Switcher,2.57,9.36,6.79,263.89
112,Warjas Gaba,947,Jasmit Peri,Switcher,1.82,6.59,4.77,262.5
2,Udant Dewan,1987,Vrinda Khosla,Competitor_Loyal,0.83,3.0,2.17,260.0
7,Saumya Mall,851,Aarnav Mandal,Competitor_Loyal,0.83,3.0,2.17,260.0
11,Lajita Chatterjee,1125,Keya Ranganathan,Competitor_Loyal,1.0,3.5,2.5,250.0
34,Devansh Rajan,1023,Aarush Kamdar,Switcher,2.33,8.17,5.83,250.0
41,Yashica Issac,716,Unnati Chaudhari,Competitor_Loyal,1.0,3.5,2.5,250.0
72,Girik Khalsa,829,Chakrika Jani,Switcher,2.0,7.0,5.0,250.0
75,Nitesh Raghavan,1464,Vasudha Gola,Competitor_Loyal,1.0,3.5,2.5,250.0
95,Nakul Sarma,1463,Ladli Narang,Competitor_Loyal,1.0,3.5,2.5,250.0
105,Prisha Andra,1742,Vyanjana Chopra,Switcher,0.5,1.75,1.25,250.0
113,Nitara Bakshi,607,Faris Raman,Switcher,1.21,4.14,2.93,241.18
12,Hemangini Lalla,1735,Yashodhara Ratta,Switcher,1.5,5.0,3.5,233.33
97,Krish Lalla,445,Jagvi Chokshi,Switcher,3.0,10.0,7.0,233.33
77,Bhavika Sampath,1400,Omkaar Banik,Switcher,2.67,8.67,6.0,225.0
92,Tanay Toor,299,Sathvik Swamy,Switcher,2.0,6.5,4.5,225.0
2,Udant Dewan,1119,Yuvraj Dani,Switcher,2.25,7.25,5.0,222.22
3,Gagan Sami,1388,Hardik Johal,Switcher,2.5,8.0,5.5,220.0
10,Gayathri Chaudry,804,Jeet Sidhu,Competitor_Loyal,0.5,1.6,1.1,220.0
91,Tara Chaudhry,1599,Brinda Raju,Switcher,2.5,8.0,5.5,220.0
94,Yash Pingle,1157,Dayita Narang,Competitor_Loyal,1.25,4.0,2.75,220.0
100,Samar Lalla,1599,Brinda Raju,Switcher,2.5,8.0,5.5,220.0
114,Gaurangi Sabharwal,1396,Tara Nagarajan,Competitor_Loyal,0.61,1.93,1.32,217.65
92,Tanay Toor,184,Siya Shan,Competitor_Loyal,1.17,3.67,2.5,214.29
46,Farhan Chada,330,Dalaja Kaur,Competitor_Loyal,1.33,4.17,2.83,212.5
92,Tanay Toor,2000,Ishani Dugal,Switcher,2.0,6.1,4.1,205.0
5,Viraj Tiwari,1140,Hardik Contractor,Competitor_Loyal,1.0,3.0,2.0,200.0
5,Viraj Tiwari,1267,Geetika Raghavan,Competitor_Loyal,0.67,2.0,1.33,200.0
6,Rushil Saini,1575,Yash Wali,Switcher,2.67,8.0,5.33,200.0
10,Gayathri Chaudry,1090,Janaki Varghese,Competitor_Loyal,1.0,3.0,2.0,200.0
35,Upadhriti Wadhwa,1950,Teerth Bhalla,Switcher,1.0,3.0,2.0,200.0
