hcp_id,hcp_name,city,specialty,loyalty_tier,potential_score,visits_per_month,post_visit_rx_lift_pct,priority_bucket,coverage_flag,assigned_rep_id,assigned_rep_name
1,Jairaj Kothari,Bhubaneswar,Cardiologist,Competitor_Loyal,42,6.17,1.6175000000000006,Priority D,Over-covered,88,William Lanka
2,Udarsh Bala,Jaipur,Diabetologist,Switcher,52,4.0,-2.76,Priority D,Appropriately-covered,25,Diya Rattan
3,Jalsa Parsa,Kolkata,Diabetologist,Competitor_Loyal,63,2.0,7.236363636363635,Priority B,Appropriately-covered,71,Chandresh Zachariah
4,Aarav Bava,Hyderabad,Cardiologist,Switcher,60,2.83,11.60888888888889,Priority B,Appropriately-covered,55,Victor Kannan
5,Tara Sharma,Kolkata,Cardiologist,Switcher,58,1.67,6.474545454545455,Priority D,Appropriately-covered,70,Faqid Savant
6,Zarna Mangal,Kolkata,Cardiologist,Competitor_Loyal,71,2.33,-3.013636363636364,Priority B,Appropriately-covered,71,Chandresh Zachariah
7,Vaishnavi Keer,Hyderabad,Cardiologist,Brand_Loyal,41,2.61,0.1966666666666666,Priority D,Appropriately-covered,55,Victor Kannan
8,Abhiram Bir,Pune,Diabetologist,Brand_Loyal,42,2.06,2.7112499999999997,Priority D,Appropriately-covered,108,Joshua Barman
9,Aahana Pillay,Delhi,Cardiologist,Switcher,50,0.94,-17.38222222222222,Priority D,Appropriately-covered,5,Viraj Tiwari
10,Ishaan Cherian,Hyderabad,GP,Competitor_Loyal,26,1.94,3.888888888888889,Priority D,Appropriately-covered,56,Ekavir Bhargava
11,Siddharth Sha,Delhi,Diabetologist,Switcher,56,1.61,-4.7316666666666665,Priority D,Appropriately-covered,5,Viraj Tiwari
12,Vrishti Parmer,Hyderabad,Cardiologist,Competitor_Loyal,62,2.39,3.311111111111112,Priority B,Appropriately-covered,56,Ekavir Bhargava
13,Ijaya Saraf,Mumbai,GP,Switcher,31,1.5,-0.4649999999999998,Priority D,Appropriately-covered,91,Tara Chaudhry
14,Varenya Kibe,Bangalore,Cardiologist,Competitor_Loyal,58,1.94,6.828181818181818,Priority D,Appropriately-covered,37,Harini Choudhury
15,Indira Nigam,Jaipur,GP,Switcher,30,3.0,26.232857142857146,Priority C,Over-covered,21,Ekbal Garg
16,Saanvi Samra,Lucknow,Diabetologist,Switcher,71,5.44,-1.655,Priority B,Appropriately-covered,14,Kritika Brar
17,Siddharth Talwar,Chennai,Cardiologist,Brand_Loyal,62,1.78,6.627777777777777,Priority B,Appropriately-covered,49,Alka Wable
18,Raksha Buch,Delhi,Diabetologist,Switcher,40,1.56,-1.736363636363636,Priority D,Appropriately-covered,3,Gagan Sami
19,Ishita Shanker,Mumbai,Diabetologist,Competitor_Loyal,50,1.56,4.2924999999999995,Priority D,Appropriately-covered,90,Diya Bora
20,Ayushman Mammen,Mumbai,GP,Brand_Loyal,68,1.67,2.4516666666666667,Priority B,Appropriately-covered,92,Tanay Toor
21,Balhaar Parsa,Bangalore,GP,Switcher,75,1.83,5.720909090909092,Priority B,Under-covered,35,Upadhriti Wadhwa
22,Zansi Walla,Kolkata,GP,Switcher,73,3.17,-2.022727272727273,Priority B,Appropriately-covered,72,Girik Khalsa
23,Veda Kulkarni,Kolkata,Cardiologist,Switcher,61,1.94,-2.647,Priority B,Appropriately-covered,72,Girik Khalsa
24,Kritika Rau,Kochi,Cardiologist,Brand_Loyal,51,6.83,2.473333333333333,Priority D,Appropriately-covered,66,Ikbal Kothari
25,Xalak Walla,Pune,GP,Brand_Loyal,49,2.06,-2.23,Priority D,Appropriately-covered,105,Prisha Andra
26,Utkarsh Patel,Delhi,Diabetologist,Competitor_Loyal,79,1.72,10.369166666666668,Priority B,Under-covered,3,Gagan Sami
27,Tanveer Shankar,Kochi,GP,Competitor_Loyal,62,6.78,10.51,Priority B,Appropriately-covered,68,Logan Sami
28,Riya Kakar,Hyderabad,GP,Brand_Loyal,79,3.72,-3.7377777777777776,Priority B,Appropriately-covered,55,Victor Kannan
29,Mahika Bhatti,Chennai,Diabetologist,Brand_Loyal,77,1.89,-4.079,Priority B,Under-covered,46,Farhan Chada
30,Zarna Shetty,Delhi,Cardiologist,Switcher,72,2.06,-5.971666666666667,Priority B,Appropriately-covered,4,Ayushman Chander
31,Leena Dey,Bangalore,Cardiologist,Switcher,71,1.67,21.611818181818183,Priority A,Appropriately-covered,36,Advay Contractor
32,Anvi Swaminathan,Kolkata,Diabetologist,Switcher,69,2.56,-2.570909090909091,Priority B,Appropriately-covered,79,Teerth Bhardwaj
33,Urvashi Khosla,Bangalore,GP,Competitor_Loyal,67,1.5,12.709,Priority B,Appropriately-covered,43,Ekiya Suresh
34,Ira Pai,Kolkata,GP,Switcher,69,1.72,13.602,Priority B,Appropriately-covered,72,Girik Khalsa
35,Chandani Ramakrishnan,Pune,GP,Switcher,50,3.0,6.4025,Priority D,Appropriately-covered,104,Adweta Edwin
